number,survey_id,push_id,crowd_id,crowd_name,record_id,q1_1.过去2年内，您购买过以下哪些产品？_手机贴膜,q1_2.过去2年内，您购买过以下哪些产品？_手机壳,q1_3.过去2年内，您购买过以下哪些产品？_手机充电线/数据线,q1_4.过去2年内，您购买过以下哪些产品？_充电宝/移动电源,q1_5.过去2年内，您购买过以下哪些产品？_无线蓝牙耳机,q1_6.过去2年内，您购买过以下哪些产品？_智能手表/手环,q1_7.过去2年内，您购买过以下哪些产品？_平板电脑,q1_8.过去2年内，您购买过以下哪些产品？_平板电脑保护套/壳,q1_9.过去2年内，您购买过以下哪些产品？_鼠标/机械键盘,q1_10.过去2年内，您购买过以下哪些产品？_贴片面膜,q1_11.过去2年内，您购买过以下哪些产品？_洗面奶/洁面乳,q1_12.过去2年内，您购买过以下哪些产品？_直升机,q1_13.过去2年内，您购买过以下哪些产品？_抽纸/卷纸,q1_14.过去2年内，您购买过以下哪些产品？_洗衣液/洗衣凝珠,q1_15.过去2年内，您购买过以下哪些产品？_T恤/裙子,q1_16.过去2年内，您购买过以下哪些产品？_运动鞋,q1_17.过去2年内，您购买过以下哪些产品？_薯片/膨化食品,q1_18.过去2年内，您购买过以下哪些产品？_奶茶/咖啡,q1_19.过去2年内，您购买过以下哪些产品？_室内绿植/花卉,q1_20.过去2年内，您购买过以下哪些产品？_桌面收纳,q2.您最近一次购买平板保护套大约是在什么时候？,q3.您最近购买的平板保护套单价大约是多少？,q4.您在购买该平板保护套时的决策角色是？,q5.您目前主要使用的平板电脑品牌是？,q6_1.您本人或您的亲友是否在以下行业工作？_市场研究/调研公司,q6_2.您本人或您的亲友是否在以下行业工作？_广告/公关/媒体传播机构,q6_3.您本人或您的亲友是否在以下行业工作？_数码配件生产、销售、运营相关行业,q6_4.您本人或您的亲友是否在以下行业工作？_新闻/报纸/电视台/自媒体,q6_5.您本人或您的亲友是否在以下行业工作？_互联网/IT/软件服务,q6_6.您本人或您的亲友是否在以下行业工作？_医疗/健康/生物制药,q6_7.您本人或您的亲友是否在以下行业工作？_教育/培训/科研,q6_8.您本人或您的亲友是否在以下行业工作？_以上均无,q7_1.过去3个月内，您参加过以下哪些类型的调研活动？_手机/数码配件类,q7_2.过去3个月内，您参加过以下哪些类型的调研活动？_汽车/交通出行类,q7_3.过去3个月内，您参加过以下哪些类型的调研活动？_食品/饮料/餐饮类,q7_4.过去3个月内，您参加过以下哪些类型的调研活动？_美妆/个人护理类,q7_5.过去3个月内，您参加过以下哪些类型的调研活动？_均未参加过,q8.您的最高学历是？,q9_1.您目前使用的平板保护套类型更接近以下哪一种？_单壳（不带盖板）保护套,q9_2.您目前使用的平板保护套类型更接近以下哪一种？_普通翻盖保护套,q9_3.您目前使用的平板保护套类型更接近以下哪一种？_ 磁吸不可拆分保护套,q9_4.您目前使用的平板保护套类型更接近以下哪一种？_旋转可拆分磁吸保护套,q9_5.您目前使用的平板保护套类型更接近以下哪一种？_带笔槽保护套,q9_6.您目前使用的平板保护套类型更接近以下哪一种？_键盘保护套,q9_7.您目前使用的平板保护套类型更接近以下哪一种？_透明/半透明保护壳,q9_8.您目前使用的平板保护套类型更接近以下哪一种？_不确定,q9_9.您目前使用的平板保护套类型更接近以下哪一种？_其他,q9_9_text.您目前使用的平板保护套类型更接近以下哪一种？_其他,q10_1.您购买平板保护套时，通常会关注哪些因素？_防摔防磕/保护性强,q10_2.您购买平板保护套时，通常会关注哪些因素？_支架稳定/角度好用,q10_3.您购买平板保护套时，通常会关注哪些因素？_触控笔收纳和拿取方便,q10_4.您购买平板保护套时，通常会关注哪些因素？_材质手感好,q10_5.您购买平板保护套时，通常会关注哪些因素？_不易沾指纹/不易显脏,q10_6.您购买平板保护套时，通常会关注哪些因素？_外观好看/有设计感,q10_7.您购买平板保护套时，通常会关注哪些因素？_颜色选择丰富,q10_8.您购买平板保护套时，通常会关注哪些因素？_轻薄便携,q10_9.您购买平板保护套时，通常会关注哪些因素？_品牌可信/品质稳定,q10_10.您购买平板保护套时，通常会关注哪些因素？_价格合适/性价比高,q10_11.您购买平板保护套时，通常会关注哪些因素？_耐用不易坏,q10_12.您购买平板保护套时，通常会关注哪些因素？_与平板搭配协调,q10_13.您购买平板保护套时，通常会关注哪些因素？_其他,q10_13_text.您购买平板保护套时，通常会关注哪些因素？_其他,q11_1.请基于上述关注的因素，将下列选项按重要性排序。 （拖动选项右边的滑块排序）_防摔防磕/保护性强,q11_2.请基于上述关注的因素，将下列选项按重要性排序。 （拖动选项右边的滑块排序）_支架稳定/角度好用,q11_3.请基于上述关注的因素，将下列选项按重要性排序。 （拖动选项右边的滑块排序）_触控笔收纳和拿取方便,q11_4.请基于上述关注的因素，将下列选项按重要性排序。 （拖动选项右边的滑块排序）_材质手感好,q11_5.请基于上述关注的因素，将下列选项按重要性排序。 （拖动选项右边的滑块排序）_不易沾指纹/不易显脏,q11_6.请基于上述关注的因素，将下列选项按重要性排序。 （拖动选项右边的滑块排序）_外观好看/有设计感,q11_7.请基于上述关注的因素，将下列选项按重要性排序。 （拖动选项右边的滑块排序）_颜色选择丰富,q11_8.请基于上述关注的因素，将下列选项按重要性排序。 （拖动选项右边的滑块排序）_轻薄便携,q11_9.请基于上述关注的因素，将下列选项按重要性排序。 （拖动选项右边的滑块排序）_品牌可信/品质稳定,q11_10.请基于上述关注的因素，将下列选项按重要性排序。 （拖动选项右边的滑块排序）_价格合适/性价比高,q11_11.请基于上述关注的因素，将下列选项按重要性排序。 （拖动选项右边的滑块排序）_耐用不易坏,q11_12.请基于上述关注的因素，将下列选项按重要性排序。 （拖动选项右边的滑块排序）_与平板搭配协调,q11_13.请基于上述关注的因素，将下列选项按重要性排序。 （拖动选项右边的滑块排序）_其他,q12.如果购买一款质量、保护性和外观设计都比较好的iPad平板保护套，在不考虑具体品牌和促销活动的情况下，以下哪个价格区间最符合您的日常心理预期？,q13.未来6个月内，您是否有购买或更换平板保护套的计划？,q14.下面是一款市面上常见的【普通款】旋转磁吸拆分平板保护壳，售价为99元。 该产品支持磁吸拆分、横竖屏旋转和日常支撑使用，可满足看剧、学习、办公等平板使用场景。请根据您自己的真实购买判断作答以下题目。,q15_1.如果您近期需要购买平板保护套，看到这款99元旋转磁吸拆分平板保护壳，您的购买意愿是？_ 购买意愿,q16_1.您认为这款99元旋转磁吸拆分平板保护壳对您的吸引力如何？_ 吸引力,q17_1.您觉得这款产品最吸引您的地方是？_可旋转使用,q17_2.您觉得这款产品最吸引您的地方是？_磁吸拆分方便,q17_3.您觉得这款产品最吸引您的地方是？_支撑看剧/学习/办公,q17_4.您觉得这款产品最吸引您的地方是？_价格合适,q17_5.您觉得这款产品最吸引您的地方是？_外观看起来简洁,q17_6.您觉得这款产品最吸引您的地方是？_保护性较好,q17_7.您觉得这款产品最吸引您的地方是？_品牌/品质感较好,q17_8.您觉得这款产品最吸引您的地方是？_没有特别吸引我的地方,q17_9.您觉得这款产品最吸引您的地方是？_其他,q17_9_text.您觉得这款产品最吸引您的地方是？_其他,q18.下面是一款在刚才99元【普通款】旋转磁吸拆分平板壳基础上进一步升级的新款产品。该【升级光面款】在保留磁吸拆分、横竖屏旋转和支撑使用功能的基础上，新增了以下三个升级点： ①四角气囊防护外显，提升防摔防磕的安全感； ②重新设计侧面直取笔槽，触控笔可从侧面直接拿取； ③提供更丰富、更个性化的配色选择。 请您先不考虑具体售价，只根据产品外观、功能和使用感受进行判断。,q19_1.不考虑价格，您对这款升级光面款平板保护套的购买意愿是？_ 购买意愿,q20_1.请评价以下升级点对您的吸引力。_四角气囊防护外显,q20_2.请评价以下升级点对您的吸引力。_侧面直取笔槽,q20_3.请评价以下升级点对您的吸引力。_更丰富、更个性化的配色选择,q21.相比刚才99元的【普通款】旋转磁吸拆分平板保护壳，如果新款增加“四角气囊防护外显、侧面直取笔槽、个性化配色”这三个升级点，您最多愿意多支付多少钱？,q22.如果这款升级光面款 iPad 平板保护套售价为 119.9 元，您的购买意愿是？,q23.如果同一款升级光面款 iPad 平板保护套售价为 129.9 元，您的购买意愿是？,q24.如果同一款升级光面款 iPad 平板保护套售价为 139.9 元，您的购买意愿是？,q25.如果同一款升级光面款 iPad 平板保护套售价为 109.9 元，您的购买意愿是？,q26.如果同一款升级光面款 iPad 平板保护套售价为 99.9 元，您的购买意愿是？,q27_text.您愿意或不愿意为这三个升级点多付钱的主要原因是什么,q28.下面是一款在刚才升级光面款基础上进一步升级的【光栅款】平板保护套。 它保留前面【升级光面款】的四角气囊防护外显、侧面直取笔槽和个性化配色，同时将背板进一步升级为光栅纹理背板，具有微磨砂质感，相比普通光面背板更不易沾指纹。 除背板材质和纹理表现外，其他主要功能与升级光面款基本一致。 请您先不考虑具体售价，只根据产品外观、材质和使用感受进行判断。,q29_1.不考虑价格，您对这款光栅款平板保护套的购买意愿是？_ 购买意愿,q30_1.请评价以下光栅背板特点对您的吸引力。_光栅纹理背板的视觉效果,q30_2.请评价以下光栅背板特点对您的吸引力。_微磨砂质感,q30_3.请评价以下光栅背板特点对您的吸引力。_相比普通光面背板更不易沾指纹,q30_4.请评价以下光栅背板特点对您的吸引力。_整体看起来更特别/更有设计感,q31.基于刚才的升级光面款，如果背板进一步升级为了现在这样“光栅纹理、微磨砂质感、不易沾指纹”，您最多愿意额外多支付多少钱？,q32.如果这款光栅款 iPad 平板保护套售价为 129.9 元，您的购买意愿是？,q33.如果这款光栅款 iPad 平板保护套售价为 139.9 元，您的购买意愿是？,q34.如果这款光栅款 iPad 平板保护套售价为 149.9 元，您的购买意愿是？,q35.如果这款光栅款 iPad 平板保护套售价为 119.9 元，您的购买意愿是？,q36.如果这款光栅款 iPad 平板保护套售价为 109.9 元，您的购买意愿是？,q37_text.您愿意或不愿意为光栅背板多付钱的主要原因是什么？,q38.如果品牌最终只能在以下两款新品中选择一款推出，您更希望购买哪一款？,q39_text.请简单说明您这样选择的主要原因。,q40.您购买数码配件时，是否愿意为外观设计、材质质感或颜色支付更高价格？,q41.您的性别是？,q42.您的年龄是？,q43.您目前的身份/职业是？,城市等级,购买力等级,人生阶段,常用收货省份,常用收货城市
227,286083,726476,1024659,3C数码,88903604,1,1,1,1,1,,,1,,1,1,,1,1,1,,1,1,,,1,2,1,1,,,,,,,,1,,,,,1,4,,1,,1,1,1,1,,,,1,1,1,1,,,1,,,,,,,,1,5,4,2,,,3,,,,,,,3,1,1,2,1,1,1,1,1,1,1,,,,,1,1,2,2,3,1,1,2,2,,,看着更好看更耐用,1,1,2,1,2,3,1,2,1,1,,,效果很不错,3,材质看着更好。感觉保护效果更好,2,1,4,2,一线,低,未知,广东省,深圳市
228,286083,726476,1024659,3C数码,88903622,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,3,1,1,,,,,,,,1,,,,,1,4,,,1,,,1,,,,,1,1,1,,1,,,1,,,,,,,1,3,2,,5,,,4,,,,,,3,1,1,2,2,,1,,,,,,,,,1,2,2,1,2,5,2,3,,,,增加的升级点不是特别的在意,1,3,3,2,2,3,1,4,,,4,3,升级点的功能比较理所当然,3,日常使用足够的情况下不想为升级的功能多付费,2,1,4,2,二线,中等,"已婚,育婴期,已育,装修期,已有房,已有车",湖北省,武汉市
229,286083,726476,1024659,3C数码,88903626,1,1,1,1,1,1,1,1,1,1,1,,,1,,,,,,,1,5,1,1,,,,,,,,1,,,,,1,4,,1,1,,,1,1,,,,1,1,1,1,1,1,,,1,,1,1,,,1,2,8,4,5,7,,,3,,9,6,,5,1,1,1,2,1,1,1,1,1,1,,,,,1,2,1,2,1,6,1,2,2,,,我相信一分钱一分货，升级款肯定比普通款功能更加强大，防护力升级，日常使用体验更加好,1,1,1,1,1,1,6,1,2,2,,,光栅背板比普通款更加不沾指纹，而且颜值更加高，感觉很适合我的使用需求，既美观又好用,2,价格来说我相信一分钱一分货，外观上面光栅款更加吸引我，让我有购物的欲望,1,1,3,2,三线,中等,"准备结婚期,育婴期,已有车",广东省,汕头市
230,286083,726476,1024659,3C数码,88903642,1,1,1,1,,1,,1,1,1,1,,1,1,1,1,1,1,1,1,1,4,1,1,,,,,,,,1,,,,,1,3,,,1,,,,,,,,1,,,1,,,,1,1,,,,,,2,,,3,,,,4,1,,,,,4,1,1,2,2,1,1,,,,,,,,,1,2,2,2,1,5,2,2,2,,,看着不错区别,1,2,2,2,2,1,5,2,2,3,,,看着不错啊,3,看着不错啊,1,1,5,6,二线,偏低,"已婚,已育,装修期,已有房,已有车",江苏省,南京市
231,286083,726476,1024659,3C数码,88903643,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,6,1,1,,,,,,,,1,,,,,1,4,,,,1,,,,,,,1,1,1,,1,1,,,1,1,1,,,,4,5,1,,2,6,,,3,7,8,,,6,1,1,1,1,1,1,1,1,1,1,1,,,,1,1,1,1,2,6,1,1,1,,,使用方法简单，外观漂亮大气，,1,1,1,1,1,1,6,1,1,1,,,外观好看，质感很好，设计更合理，,2,材质更好一些，外观漂亮，防护更好。,1,2,3,6,五线,中等,"准备结婚期,已育",河北省,邢台市
232,286083,726476,1024659,3C数码,88903672,1,1,1,1,1,1,,1,,1,1,,1,1,1,1,1,1,1,1,1,2,1,1,,,,,,,1,,,,,,1,4,,1,,,,,,,,,,,,1,,1,,,,,1,,,,,,,3,,1,,,,,2,,,2,2,1,2,2,1,,1,,,1,,,,,1,3,2,3,3,2,4,,,4,4,与我实际需求有差，我还是喜欢翻盖的，更加简洁的,1,3,2,3,3,3,2,4,,,4,4,不喜欢透明的设计,4,我不喜欢透明的设计，更喜欢深色系的,2,1,4,6,五线,偏低,"已婚,育婴期,已育,已有房,已有车",江西省,九江市
233,286083,726476,1024659,3C数码,88903682,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,6,1,1,,,,,1,,1,,,,,1,,5,,,,1,,1,,,,,1,1,,,,,,1,,1,,,,,1,4,,,,,,2,,3,,,,6,2,1,2,2,,1,,1,,1,,,,,1,1,1,2,1,5,1,2,2,,,都差不多性能,1,2,2,1,1,2,3,2,2,2,,,不太值这个价格,1,物美价廉,2,1,3,3,二线,偏低,"已婚,已育,已有车",江苏省,无锡市
234,286083,726476,1024659,3C数码,88903683,,1,1,,1,1,1,,,1,1,,1,,1,,1,1,1,,2,3,1,1,,,,,,,,1,,,,,1,5,,,1,,,,,,,,1,1,,,,,,,1,,1,,,,1,2,,,,,,,4,,3,,,3,2,1,2,2,1,1,1,,,1,,,,,1,2,1,3,2,3,2,2,3,,,四角防护，保护效果更好,1,2,2,2,2,2,2,2,2,3,,,更耐用,1,四角防护效果更好,2,1,3,2,一线,偏低,"已婚,育婴期,已育",上海,上海市
235,286083,726476,1024659,3C数码,88903704,1,1,1,1,1,,,1,1,1,1,,1,1,1,1,,1,,,1,2,1,1,,,,,,,,1,,,,1,,4,,1,,,,,,,,,1,1,,1,1,1,1,1,1,1,,,,,2,5,,3,9,4,6,7,1,8,,,,3,2,1,2,2,1,1,,1,,1,,,,,1,2,2,3,2,3,2,2,3,,,主要根据预算，预算够可能会购买,1,2,3,2,2,2,4,2,2,4,,,对我来说光栅背板不是吸引我的点，所以不愿意为这点付更多的钱,1,"升级光面款已经满足了我的需求，价格上也符合我的预期，如果光栅款价格高于15，我就会购买升级光面款
",2,1,5,2,二线,高,"已婚,已育,已有房,已有车",浙江省,杭州市
236,286083,726476,1024659,3C数码,88903763,1,1,1,1,1,1,1,1,,1,1,,1,1,1,1,1,1,,1,1,4,1,1,,,,,,,,1,,,,,1,5,,,,1,1,,,,,,1,,,,,1,1,1,,1,1,,,,1,,,,,5,6,4,,2,3,,,4,2,1,2,2,1,1,,1,1,,1,,,,1,1,1,2,2,2,3,,,2,,防护可以多付一点钱，因为之前屏幕碎了花了很多钱。配色外观属于锦上添花的范畴，加一点点钱还是可以的。,1,1,3,2,1,2,3,3,,,2,,质感这个我不觉得需要多花钱有无都可，防指纹还好，可以减少打理。其他没有值得需要加钱花钱的地方。外观一般吧。,3,对外观没有特别的要求。所以觉得差不多，加一点点钱还好，多了就不会买。功能方面才是真正值得花钱的地方。,4,1,4,4,二线,低,"已婚,育婴期,已育",江苏省,南京市
237,286083,726476,1024659,3C数码,88903766,,1,,1,,,,1,,1,1,,1,1,,,1,,,,1,5,1,1,,,,,,,,1,,,,,1,4,,1,,,1,1,,,,,1,1,,,,,,1,,,,,,,1,2,,,,,,3,,,,,,5,2,1,2,2,,1,,1,,1,,,,,1,1,1,1,2,4,2,2,3,,,愿意从防护性升级方面购买，但是贵太多了就会重新思考,1,1,2,2,1,2,3,1,2,4,,,不留指纹看起来很干净,2,不留指纹看起来更舒服,2,1,2,1,三线,偏低,单身,江西省,南昌市
238,286083,726476,1024659,3C数码,88903788,1,1,1,,,1,1,1,,1,,,,1,1,1,,1,,,1,5,1,1,,,,,,,,1,,,,,1,5,,1,1,1,,,,,,,1,1,1,1,,1,,,,,1,,,,1,2,5,6,,3,,,,,4,,,5,1,1,1,1,1,1,,,1,,1,,,,1,2,1,2,1,3,1,2,1,,,配色简约耐看 磁吸设计非常方便日常使用,1,2,2,1,1,2,4,2,2,3,,,比较特别 防指纹很合我心意,2,磨砂的视觉看起来更高级,1,1,3,6,二线,偏高,准备结婚期,重庆,重庆市
239,286083,726476,1024659,3C数码,88903801,1,1,1,1,1,1,1,,,1,1,,1,1,,1,1,1,,1,2,2,1,1,,,,,,,,1,,,,1,,3,,1,,,,,,,,,,,,1,1,,,,,1,,1,,,,,,4,2,,,,,1,,3,,3,2,1,2,2,1,1,,,1,,,,,,1,2,2,2,3,3,2,3,,,,价格有点不实惠了,1,2,3,2,2,3,3,2,2,4,,,太贵了,1,价格合理,2,2,5,3,二线,偏低,"已婚,装修期,已有车",山东省,烟台市
240,286083,726476,1024659,3C数码,88903810,1,1,1,1,1,1,,1,1,1,1,,1,1,1,1,1,1,1,1,1,7,1,1,,,,,,,,1,,,,,1,5,,,,1,,1,,,,,1,1,1,1,,1,,,,,1,1,,,1,2,6,3,,7,,,,,4,5,,6,1,1,2,2,1,1,1,1,,1,,,,,1,1,1,2,1,5,1,2,4,,,我觉得升到一百三十九块九就已经超出了我的心理价位，我觉得这个升级点就就是差不多一百二十九块九这个价格我觉得最适合我设计技术都非常符合我的习惯,1,2,3,2,2,2,7,2,4,,,,我觉得光栅背板没有光面的那么好看，我个人是更倾向于光面的那种设计，当然我能理解光栅的那个嗯，设计可能制作成本更高，我喜欢光栅的人，可能可以接受的，而我个人只是更喜欢光面而已,1,这两款从技术功能上都差不多，只是外观的差异，所以也就只是外观的偏好的问题而已,2,1,4,2,三线,偏高,未知,广东省,汕头市
241,286083,726476,1024659,3C数码,88903844,1,1,1,1,,1,1,1,,1,1,,1,1,1,1,1,1,,1,1,4,1,1,,,,,,,,1,,,,,1,5,,,,1,1,,,,,,1,,,,1,,1,1,1,1,,1,,,4,,,,5,,3,7,1,2,,6,,4,1,1,2,2,,1,,1,,1,1,,,,1,2,1,2,3,3,3,,,2,,防护行很重要，可以防止屏幕碎掉，之前就碎了花了好多钱。其他的就不要加钱了。,1,2,3,2,2,3,4,2,4,,,,就是个装饰没有实质性功能。还好额外话好几十没有必要，几块钱还行吧。,3,都是外观类的，没有明显的感觉。,4,1,4,4,二线,低,"已婚,已有房,已有车",江苏省,南京市
242,286083,726476,1024659,3C数码,88903855,,1,1,,,,,1,,1,1,,1,1,,1,1,1,,1,2,3,1,1,,,,,,,,1,,,1,1,,3,,1,,,,,,,,,1,1,,,,,,,,,,,,,1,2,,,,,,,,,,,,4,4,1,3,3,,,1,,,,,,,,1,2,2,3,3,6,3,,,2,,没必要,1,3,3,3,3,3,7,3,,,3,3,没必要,3,能用就好,2,1,5,3,二线,偏高,"已婚,育婴期,已育,已有车",福建省,泉州市
243,286083,726476,1024659,3C数码,88903872,1,1,1,1,1,1,1,1,,1,1,,1,1,1,1,1,1,1,1,1,5,1,1,,,,,,,,1,,,,,1,5,1,1,,1,1,,,,,,1,,,,,1,,1,1,,1,,,,4,,,,,5,,1,3,,2,,,5,1,1,2,2,,1,,,1,1,,,,,1,2,2,2,2,5,2,2,3,,,不确定笔槽是否实用 配色一般吸引,1,1,1,1,1,1,5,1,2,3,,,太贵的话就觉得不值得了,2,看起来品质更好一些,2,1,4,2,一线,偏低,未知,北京,北京市
244,286083,726476,1024659,3C数码,88903879,1,1,1,1,1,,1,1,1,,,,,,,,,,,,1,5,1,1,,,,,1,1,1,,,,,,1,4,,,,1,1,1,1,,,,1,1,1,1,1,1,,1,,1,1,1,,,4,1,3,6,10,9,,2,,5,8,7,,5,2,1,2,2,1,1,,1,,,,,,,1,2,1,1,2,5,2,1,2,,,防护效果更好,1,2,2,2,2,2,2,2,3,,,,价值不大可有可无,3,价格差别不大的话客户可以自己按照喜好选择,2,1,3,2,二线,偏低,"已婚,已有房,已有车",浙江省,杭州市
245,286083,726476,1024659,3C数码,88903884,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,4,1,1,,,,,,,,1,,,,,1,4,,1,,,,,,,,,1,1,,1,,,1,1,,1,,,,,1,2,,6,,,3,5,,4,,,,4,1,1,2,2,1,1,1,,1,,,,,,1,3,3,3,3,4,2,2,2,,,本来功能够用了,1,1,1,1,1,2,5,1,1,1,,,看着很不错,2,喜欢,1,1,3,2,一线,偏高,"已婚,已育,已有车",上海,上海市
246,286083,726476,1024659,3C数码,88903914,1,1,1,,,1,1,,1,,,,1,,,1,,,,,1,4,1,1,,,,,,,,1,,,,,1,3,,1,,1,,1,,,,,1,,,,1,1,,,,1,,,,,2,,,,4,1,,,,3,,,,5,1,1,2,2,,1,1,,,1,,,,,1,2,2,3,2,4,2,2,3,,,感觉日常追剧不需要那么多设计 如果是工作用 可能会更有用,1,2,2,2,1,3,3,2,2,4,,,有点太贵了 经常喜欢换不同的壳有点不划算,2,不喜欢指纹特别明显的 显脏,2,1,3,2,三线,低,未知,新疆维吾尔自治区,乌鲁木齐市
247,286083,726476,1024659,3C数码,88903915,1,1,1,1,1,1,1,1,,1,1,,1,1,1,,1,1,,,1,5,1,1,,,,,,,,1,,,,,1,4,,,1,,1,1,,,,,1,1,1,1,1,1,1,1,1,1,1,1,,,1,3,6,2,7,5,11,4,9,8,10,12,,6,1,1,2,2,1,1,,,,1,,,,,1,1,1,2,1,4,1,2,2,,,有多种配色可以选择，能够选择自己喜欢的配色。四角防护，更安全，能更好地保护平板，磁吸旋转设计，看起来更方便便捷，适合多种场景的使用。,1,2,2,1,1,2,3,1,2,3,,,这个设计对我来说，没有特别大的吸引力，可有可无。当然如果价钱合适，还是会购买。但是如果超出预期，就不会购买。,1,这款的卖点已经足够满足我的一些需求，价格也比较合适，综合各方面来看，更倾向于光面款。,1,1,3,3,五线,偏高,"准备结婚期,已育,已有车",广东省,揭阳市
248,286083,726476,1024659,3C数码,88903934,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,2,4,1,1,,,,,,,,1,,,,,1,5,,1,,,,,,,,,1,,,1,1,1,1,,1,1,1,1,,,2,,,3,4,7,6,,1,8,9,5,,4,1,1,1,1,1,1,,,1,1,1,,,,1,1,1,1,1,3,1,2,3,,,材质更加环保，保护性强,1,1,1,1,1,1,4,1,2,3,,,材质样式好,2,样式喜欢材质好,2,1,4,4,二线,中等,"已婚,育婴期,已育,已有车",辽宁省,大连市
249,286083,726476,1024659,3C数码,88903948,1,1,,,,,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,2,1,1,,,,,1,,,,,,1,,,4,,,1,,,,,,,,1,1,,,,1,,,,,,,,,2,3,,,,1,,,,,,,,2,2,1,2,2,1,1,,,,,,,,,1,2,2,2,2,2,2,4,,,,贵了,1,2,2,2,2,2,2,2,4,,,,贵了,1,性价比更高,1,1,4,2,一线,偏低,准备结婚期,上海,上海市
250,286083,726476,1024659,3C数码,88903957,,,1,,,,1,1,,1,1,,1,1,1,1,1,,,,1,3,1,1,,,,,,,,1,,,,,1,3,,,1,,,,,,,,1,1,,,1,,,1,,1,1,1,,,1,6,,,5,,,4,,7,3,2,,3,2,1,1,1,,1,,1,1,1,,,,,1,2,1,3,2,3,2,3,,,,不确定升级的是否是智商税,1,3,3,3,3,3,2,3,,,3,3,不怎么好看、质感也不确定好不好,1,好看简约、性价比可以介绍,2,1,4,3,未知,偏低,已婚,未知,未知
251,286083,726476,1024659,3C数码,88903974,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,2,1,1,,,,,,,,1,,,,,1,4,,1,1,,1,1,,,,,1,1,1,1,1,1,1,1,1,1,1,1,,,1,9,10,4,11,5,6,3,8,7,2,12,,3,1,1,4,5,1,1,1,,1,,,,,,1,2,1,1,1,5,2,2,3,,,要简洁、有逻辑、有态度。我愿意为真实提升防护等级和真正解决笔槽充电/取用痛点的设计多付钱，因为平板价值高、维修贵，且笔槽若能做到充电不遮挡、取放顺手，确实能大幅提升日常效率；但我不愿为单纯的配色或外观溢价买单，因为壳子本质上是消耗品，颜值溢价往往性价比最低，且浅色易脏、特殊材质难清洁，远不如把钱花在功能性升级上。,1,2,1,1,1,1,5,2,2,2,,,要简洁、有逻辑、有态度。我愿意为真实提升防护等级和真正解决笔槽充电/取用痛点的设计多付钱，因为平板价值高、维修贵，且笔槽若能做到充电不遮挡、取放顺手，确实能大幅提升日常效率；但我不愿为单纯的配色或外观溢价买单，因为壳子本质上是消耗品，颜值溢价往往性价比最低，且浅色易脏、特殊材质难清洁，远不如把钱花在功能性升级上。,2,要简洁、有逻辑、有态度。我愿意为真实提升防护等级和真正解决笔槽充电/取用痛点的设计多付钱，因为平板价值高、维修贵，且笔槽若能做到充电不遮挡、取放顺手，确实能大幅提升日常效率；但我不愿为单纯的配色或外观溢价买单，因为壳子本质上是消耗品，颜值溢价往往性价比最低，且浅色易脏、特殊材质难清洁，远不如把钱花在功能性升级上。,1,1,3,4,二线,偏低,未知,四川省,成都市
252,286083,726476,1024659,3C数码,88904221,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,2,2,1,,,,,,,,1,,,,,1,4,,1,,,1,,1,,,,1,1,1,1,1,1,1,1,1,,1,1,,,1,7,3,10,11,8,9,6,2,,4,5,,4,1,1,1,1,1,1,1,,1,1,1,,,,1,1,1,1,2,5,1,1,2,,,我愿意为这三个升级点对付钱的主要原因是什么 防护 便携性 配色 外观 日常体验,1,1,2,1,1,2,5,1,2,2,,,我愿意为这光栅背板多付钱的原因是什么 防指纹 特别 耐看 ,2,我这样选择的主要原因是什么 价格 外观 材质 防护 功能,1,1,3,2,一线,偏低,未知,北京,北京市
253,286083,726476,1024659,3C数码,88904233,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,5,1,1,,,,,,,,1,,,,,1,4,,,1,1,,,,,,,1,1,,1,1,1,1,1,,,1,1,,,1,3,,8,9,5,6,7,,,4,2,,6,1,1,1,1,1,1,,1,1,1,,,,,1,2,1,3,1,4,1,2,3,,,主要我不喜欢笔槽设计，容易藏污纳垢，清理起来很麻烦，平时我用笔的频率也不高，这个设计对我来说很积累。愿意多付钱的是四角的升级防护。,1,1,1,1,1,2,4,1,2,4,,,愿意多付钱是后背的光栅设计，不沾指纹有一定的摩擦力手持时不容易脱落,2,这款不容易沾指纹，日常护理比较省心，还有这款防滑性更好,1,1,4,4,二线,偏低,未知,山东省,济南市
