编号,记录ID,投放ID,人群ID,人群名称,多选题,单选题,单选题,单选题,单选题,多选题,多选题,单选题,多选题,多选题,排序题,单选题,单选题,单选题,单选矩阵题,单选矩阵题,多选题,单选题,单选矩阵题,单选矩阵题,单选题,单选题,单选题,单选题,单选题,单选题,多行文本题,单选题,单选矩阵题,单选矩阵题,单选题,单选题,单选题,单选题,单选题,单选题,多行文本题,单选题,单选题,多行文本题,单选题,单选题,单选题,单选题,城市等级,购买力等级,人生阶段,常用收货省份,常用收货城市
210,是,88903415,726476,1024659,"平板电脑保护套/壳,平板电脑,手机壳,充电宝/移动电源",近12个月内,记不清,完全由我自己决定购买哪个品牌和产品,Apple（苹果）,以上均无,均未参加过,硕士及以上,键盘保护套,"防摔防磕/保护性强,不易沾指纹/不易显脏,与平板搭配协调","防摔防磕/保护性强,不易沾指纹/不易显脏,与平板搭配协调",80-99元,可能会,我已认真阅读,购买意愿: [可能会购买],吸引力: [比较吸引],保护性较好,我已认真阅读,购买意愿: [可能会购买],四角气囊防护外显: [比较吸引];侧面直取笔槽: [非常吸引];更丰富、更个性化的配色选择: [非常吸引],愿意多付6-10元,可能会购买,说不清,-,-,-,愿意多付钱，因为这种设计更保护平板,我已认真阅读,购买意愿: [可能会购买],光栅纹理背板的视觉效果: [非常吸引];微磨砂质感: [比较吸引];相比普通光面背板更不易沾指纹: [非常吸引];整体看起来更特别/更有设计感: [非常吸引],愿意多付11-15元,可能会购买,说不清,-,-,-,不留指纹，这个卖点比较需要,28.11s,两款都可以，没有明显偏好,两款都不错，就看有没有自己喜欢的颜色了,经常会,女,25-30岁,专业人士,四线,低,未知,陕西省,宝鸡市
211,是,88903448,726476,1024659,"洗面奶/洁面乳,薯片/膨化食品,T恤/裙子,桌面收纳,手机壳,充电宝/移动电源,运动鞋,奶茶/咖啡,抽纸/卷纸,洗衣液/洗衣凝珠,平板电脑保护套/壳",近12个月内,100–119元,完全由我自己决定购买哪个品牌和产品,Apple（苹果）,以上均无,均未参加过,硕士及以上,磁吸不可拆分保护套,"防摔防磕/保护性强,不易沾指纹/不易显脏,触控笔收纳和拿取方便,价格合适/性价比高,品牌可信/品质稳定,耐用不易坏,与平板搭配协调","防摔防磕/保护性强,品牌可信/品质稳定,价格合适/性价比高,触控笔收纳和拿取方便,耐用不易坏,与平板搭配协调,不易沾指纹/不易显脏",50-79元,可能会,我已认真阅读,购买意愿: [可能会购买],吸引力: [比较吸引],"外观看起来简洁,磁吸拆分方便,保护性较好",我已认真阅读,购买意愿: [可能不会购买],四角气囊防护外显: [比较吸引];更丰富、更个性化的配色选择: [不太吸引];侧面直取笔槽: [一般],不愿意多付钱,可能不会购买,-,-,可能不会购买,说不清,配色给人感觉很不好看，同时实用性没有很明显提升,我已认真阅读,购买意愿: [说不清],光栅纹理背板的视觉效果: [不太吸引];微磨砂质感: [一般];相比普通光面背板更不易沾指纹: [比较吸引];整体看起来更特别/更有设计感: [不太吸引],愿意多付5元以内,肯定不会购买,-,-,可能不会购买,说不清,仅仅因为防指纹就要多花钱，我觉得不值，而且颜色我也不喜欢,24.46s,两款都可以，没有明显偏好,我对这两款没有明显偏好,很少会,男,25-30岁,学生,二线,低,单身,福建省,福州市
212,是,88903469,726476,1024659,"手机充电线/数据线,平板电脑保护套/壳,无线蓝牙耳机,手机贴膜,手机壳,平板电脑,洗面奶/洁面乳,奶茶/咖啡,智能手表/手环,充电宝/移动电源,薯片/膨化食品,T恤/裙子,贴片面膜",近12个月内,120–149元,完全由我自己决定购买哪个品牌和产品,Apple（苹果）,以上均无,均未参加过,本科,"磁吸不可拆分保护套,透明/半透明保护壳,普通翻盖保护套,单壳（不带盖板）保护套,旋转可拆分磁吸保护套","防摔防磕/保护性强,材质手感好,外观好看/有设计感,品牌可信/品质稳定,与平板搭配协调,颜色选择丰富","颜色选择丰富,品牌可信/品质稳定,外观好看/有设计感,防摔防磕/保护性强,与平板搭配协调,材质手感好",120-149元,肯定会,我已认真阅读,购买意愿: [可能会购买],吸引力: [比较吸引],"可旋转使用,磁吸拆分方便,支撑看剧/学习/办公,价格合适,外观看起来简洁,保护性较好",我已认真阅读,购买意愿: [肯定会购买],四角气囊防护外显: [非常吸引];侧面直取笔槽: [比较吸引];更丰富、更个性化的配色选择: [非常吸引],愿意多付21元及以上,肯定会购买,肯定会购买,可能会购买,-,-,看产品各方面的配置值不值得多付钱吧,我已认真阅读,购买意愿: [肯定会购买],光栅纹理背板的视觉效果: [非常吸引];微磨砂质感: [非常吸引];相比普通光面背板更不易沾指纹: [非常吸引];整体看起来更特别/更有设计感: [非常吸引],愿意多付21元及以上,肯定会购买,肯定会购买,可能会购买,-,-,看产品各方面情况决定的,21.2s,光栅款,更符合我的喜好一些吧,经常会,女,25-30岁,专业人士,四线,偏低,单身,福建省,宁德市
214,是,88903490,726476,1024659,"平板电脑,智能手表/手环,洗面奶/洁面乳,鼠标/机械键盘,平板电脑保护套/壳,无线蓝牙耳机,手机充电线/数据线,手机贴膜,充电宝/移动电源,洗衣液/洗衣凝珠,抽纸/卷纸,薯片/膨化食品,手机壳",近12个月内,120–149元,完全由我自己决定购买哪个品牌和产品,Apple（苹果）,以上均无,均未参加过,本科,"带笔槽保护套,普通翻盖保护套,单壳（不带盖板）保护套","防摔防磕/保护性强,支架稳定/角度好用,材质手感好,不易沾指纹/不易显脏,轻薄便携,价格合适/性价比高,耐用不易坏,与平板搭配协调","防摔防磕/保护性强,支架稳定/角度好用,与平板搭配协调,轻薄便携,材质手感好,价格合适/性价比高,耐用不易坏,不易沾指纹/不易显脏",120-149元,肯定会,我已认真阅读,购买意愿: [肯定会购买],吸引力: [非常吸引],"可旋转使用,磁吸拆分方便,支撑看剧/学习/办公,保护性较好,价格合适,品牌/品质感较好",我已认真阅读,购买意愿: [肯定会购买],四角气囊防护外显: [非常吸引];侧面直取笔槽: [比较吸引];更丰富、更个性化的配色选择: [比较吸引],愿意多付21元及以上,肯定会购买,可能会购买,可能会购买,-,-,四周气囊增强了平板的保护力，不容易摔坏，这一点很吸引我，愿意多支付更多价值,我已认真阅读,购买意愿: [肯定会购买],光栅纹理背板的视觉效果: [比较吸引];微磨砂质感: [比较吸引];相比普通光面背板更不易沾指纹: [非常吸引];整体看起来更特别/更有设计感: [比较吸引],愿意多付21元及以上,肯定会购买,可能会购买,说不清,-,-,不粘指纹这一点解决了我的痛点，很吸引我，愿意为其多支付,51.74s,升级光面款,四周气囊对平板的保护非常契合我的需求，我愿意为其支付更多,有时会,女,25-30岁,企业职员,三线,低,未知,山东省,泰安市
215,是,88903500,726476,1024659,"平板电脑保护套/壳,洗衣液/洗衣凝珠,抽纸/卷纸,T恤/裙子,运动鞋,洗面奶/洁面乳,室内绿植/花卉",近12个月内,120–149元,完全由我自己决定购买哪个品牌和产品,Apple（苹果）,以上均无,均未参加过,硕士及以上,旋转可拆分磁吸保护套,"防摔防磕/保护性强,支架稳定/角度好用,价格合适/性价比高,品牌可信/品质稳定","品牌可信/品质稳定,支架稳定/角度好用,防摔防磕/保护性强,价格合适/性价比高",120-149元,可能会,我已认真阅读,购买意愿: [肯定会购买],吸引力: [非常吸引],"支撑看剧/学习/办公,磁吸拆分方便,价格合适",我已认真阅读,购买意愿: [可能会购买],四角气囊防护外显: [一般];侧面直取笔槽: [一般];更丰富、更个性化的配色选择: [一般],愿意多付6-10元,可能会购买,可能会购买,可能会购买,-,-,看起来颜值一般,我已认真阅读,购买意愿: [肯定会购买],光栅纹理背板的视觉效果: [非常吸引];微磨砂质感: [非常吸引];相比普通光面背板更不易沾指纹: [非常吸引];整体看起来更特别/更有设计感: [比较吸引],愿意多付16-20元,肯定会购买,肯定会购买,可能会购买,-,-,防指纹挺喜欢的,16.11s,光栅款,指纹这一点很实用,经常会,女,31-35岁,自由职业/个体经营,四线,低,"准备结婚期,育婴期,已育,装修期,已有车",山东省,枣庄市
216,是,88903502,726476,1024659,"平板电脑,智能手表/手环,手机壳,平板电脑保护套/壳",近12个月内,120–149元,完全由我自己决定购买哪个品牌和产品,Apple（苹果）,以上均无,均未参加过,本科,"普通翻盖保护套,旋转可拆分磁吸保护套,磁吸不可拆分保护套","防摔防磕/保护性强,支架稳定/角度好用,不易沾指纹/不易显脏,外观好看/有设计感,轻薄便携,与平板搭配协调","支架稳定/角度好用,防摔防磕/保护性强,与平板搭配协调,轻薄便携,不易沾指纹/不易显脏,外观好看/有设计感",120-149元,肯定会,我已认真阅读,购买意愿: [可能会购买],吸引力: [比较吸引],"可旋转使用,磁吸拆分方便,保护性较好,外观看起来简洁,品牌/品质感较好",我已认真阅读,购买意愿: [说不清],四角气囊防护外显: [比较吸引];侧面直取笔槽: [比较吸引];更丰富、更个性化的配色选择: [比较吸引],愿意多付21元及以上,可能会购买,可能会购买,可能会购买,-,-,配色好看可以吗 手感好的 不影响散热的 ,我已认真阅读,购买意愿: [肯定会购买],光栅纹理背板的视觉效果: [非常吸引];微磨砂质感: [非常吸引];相比普通光面背板更不易沾指纹: [非常吸引];整体看起来更特别/更有设计感: [非常吸引],愿意多付21元及以上,可能会购买,可能会购买,说不清,-,-,手感好不停留手油的话更好,16.78s,光栅款,光面的手感不如光栅卡,经常会,女,25-30岁,企业职员,二线,低,"已婚,育婴期,已有房,已有车",浙江省,杭州市
217,是,88903507,726476,1024659,"鼠标/机械键盘,桌面收纳,智能手表/手环,洗衣液/洗衣凝珠,平板电脑,贴片面膜,手机贴膜,平板电脑保护套/壳,薯片/膨化食品,奶茶/咖啡,手机充电线/数据线,抽纸/卷纸,手机壳,洗面奶/洁面乳,运动鞋,T恤/裙子,充电宝/移动电源,无线蓝牙耳机,室内绿植/花卉",近12个月内,120–149元,完全由我自己决定购买哪个品牌和产品,Apple（苹果）,以上均无,均未参加过,本科,"普通翻盖保护套,磁吸不可拆分保护套,带笔槽保护套","支架稳定/角度好用,防摔防磕/保护性强,触控笔收纳和拿取方便,颜色选择丰富,轻薄便携,价格合适/性价比高,耐用不易坏,外观好看/有设计感,与平板搭配协调,不易沾指纹/不易显脏","外观好看/有设计感,防摔防磕/保护性强,不易沾指纹/不易显脏,颜色选择丰富,价格合适/性价比高,轻薄便携,支架稳定/角度好用,耐用不易坏,与平板搭配协调,触控笔收纳和拿取方便",120-149元,肯定会,我已认真阅读,购买意愿: [可能会购买],吸引力: [比较吸引],"可旋转使用,磁吸拆分方便,保护性较好,支撑看剧/学习/办公,价格合适",我已认真阅读,购买意愿: [可能会购买],四角气囊防护外显: [非常吸引];侧面直取笔槽: [比较吸引];更丰富、更个性化的配色选择: [非常吸引],愿意多付11-15元,可能会购买,可能会购买,说不清,-,-,配色不是特别好看，外观设计略土气,我已认真阅读,购买意愿: [肯定会购买],微磨砂质感: [比较吸引];光栅纹理背板的视觉效果: [比较吸引];相比普通光面背板更不易沾指纹: [非常吸引];整体看起来更特别/更有设计感: [非常吸引],愿意多付16-20元,肯定会购买,可能会购买,说不清,-,-,看起来质感更好，并且防指纹,17.38s,光栅款,外观更加独特，手感更好，同时更加防指纹,经常会,女,25-30岁,其他,三线,低,未知,浙江省,温州市
218,是,88903511,726476,1024659,"手机贴膜,平板电脑保护套/壳,充电宝/移动电源,手机壳,洗面奶/洁面乳,运动鞋,平板电脑,手机充电线/数据线,T恤/裙子,室内绿植/花卉,奶茶/咖啡,抽纸/卷纸,洗衣液/洗衣凝珠,智能手表/手环,无线蓝牙耳机,贴片面膜,薯片/膨化食品",近13-24个月内,50–79元,完全由我自己决定购买哪个品牌和产品,Apple（苹果）,以上均无,均未参加过,本科,"磁吸不可拆分保护套,带笔槽保护套","防摔防磕/保护性强,支架稳定/角度好用,外观好看/有设计感,轻薄便携,价格合适/性价比高","外观好看/有设计感,支架稳定/角度好用,防摔防磕/保护性强,轻薄便携,价格合适/性价比高",80-99元,肯定会,我已认真阅读,购买意愿: [可能会购买],吸引力: [非常吸引],"磁吸拆分方便,支撑看剧/学习/办公",我已认真阅读,购买意愿: [可能会购买],四角气囊防护外显: [非常吸引];侧面直取笔槽: [非常吸引];更丰富、更个性化的配色选择: [比较吸引],愿意多付6-10元,可能会购买,可能会购买,可能不会购买,-,-,外观单调，有点贵,我已认真阅读,购买意愿: [可能会购买],光栅纹理背板的视觉效果: [比较吸引];微磨砂质感: [比较吸引];相比普通光面背板更不易沾指纹: [比较吸引];整体看起来更特别/更有设计感: [比较吸引],愿意多付5元以内,可能会购买,可能会购买,可能不会购买,-,-,太贵了,6.9s,光栅款,好看一些,经常会,女,36-40岁,企业职员,二线,低,未知,天津,天津市
219,是,88903517,726476,1024659,"平板电脑,平板电脑保护套/壳,手机充电线/数据线,充电宝/移动电源",近12个月内,120–149元,完全由我自己决定购买哪个品牌和产品,Apple（苹果）,以上均无,均未参加过,硕士及以上,键盘保护套,"支架稳定/角度好用,防摔防磕/保护性强,触控笔收纳和拿取方便,与平板搭配协调,外观好看/有设计感","与平板搭配协调,支架稳定/角度好用,触控笔收纳和拿取方便,防摔防磕/保护性强,外观好看/有设计感",150-199元,可能会,我已认真阅读,购买意愿: [可能会购买],吸引力: [比较吸引],"可旋转使用,磁吸拆分方便,外观看起来简洁",我已认真阅读,购买意愿: [肯定会购买],四角气囊防护外显: [非常吸引];侧面直取笔槽: [比较吸引];更丰富、更个性化的配色选择: [比较吸引],愿意多付6-10元,可能会购买,可能会购买,说不清,-,-,愿意是因为，更能防磕碰，颜色很喜欢清新,我已认真阅读,购买意愿: [可能会购买],光栅纹理背板的视觉效果: [比较吸引];微磨砂质感: [一般];相比普通光面背板更不易沾指纹: [比较吸引];整体看起来更特别/更有设计感: [比较吸引],愿意多付6-10元,可能会购买,说不清,-,-,-,磨砂，拿着摩擦力强，不容易掉，加10以内可接受,45.27s,光栅款,摩擦力更强，拿着方便,有时会,女,25-30岁,专业人士,二线,低,未知,辽宁省,沈阳市
220,是,88903529,726476,1024659,"平板电脑,充电宝/移动电源,智能手表/手环,手机壳,手机充电线/数据线,平板电脑保护套/壳,手机贴膜,鼠标/机械键盘,贴片面膜",近12个月内,120–149元,完全由我自己决定购买哪个品牌和产品,Apple（苹果）,以上均无,均未参加过,硕士及以上,"普通翻盖保护套,带笔槽保护套,键盘保护套,磁吸不可拆分保护套","防摔防磕/保护性强,支架稳定/角度好用,外观好看/有设计感,不易沾指纹/不易显脏,价格合适/性价比高,耐用不易坏","防摔防磕/保护性强,耐用不易坏,不易沾指纹/不易显脏,支架稳定/角度好用,价格合适/性价比高,外观好看/有设计感",120-149元,肯定会,我已认真阅读,购买意愿: [可能会购买],吸引力: [比较吸引],"可旋转使用,磁吸拆分方便,外观看起来简洁,保护性较好,支撑看剧/学习/办公",我已认真阅读,购买意愿: [可能会购买],四角气囊防护外显: [非常吸引];侧面直取笔槽: [比较吸引];更丰富、更个性化的配色选择: [一般],愿意多付16-20元,可能会购买,可能会购买,可能会购买,-,-,设计的很符合普通人日常从娱乐到办公所需要的平板支撑姿势，并且着力于用户的痛点和买点，从多方面深入了解并解决用户需求和问题,我已认真阅读,购买意愿: [可能会购买],光栅纹理背板的视觉效果: [比较吸引];微磨砂质感: [一般];相比普通光面背板更不易沾指纹: [非常吸引];整体看起来更特别/更有设计感: [一般],愿意多付5元以内,说不清,-,-,可能会购买,-,主要的卖点就是不易沾指纹，其余方面并没有什么吸引人购买的,33.58s,两款都可以，没有明显偏好,两款的区别和优势并不太有区分，从个人角度来看会更愿意购买更有性价比的一款,有时会,女,25-30岁,学生,五线,中等,恋爱期,湖南省,永州市
221,是,88903531,726476,1024659,"平板电脑保护套/壳,手机壳,洗面奶/洁面乳,贴片面膜,薯片/膨化食品,智能手表/手环,运动鞋,充电宝/移动电源,室内绿植/花卉,奶茶/咖啡,无线蓝牙耳机,T恤/裙子,洗衣液/洗衣凝珠,手机贴膜",近12个月内,120–149元,完全由我自己决定购买哪个品牌和产品,Apple（苹果）,以上均无,均未参加过,本科,"普通翻盖保护套,带笔槽保护套","防摔防磕/保护性强,触控笔收纳和拿取方便,不易沾指纹/不易显脏,支架稳定/角度好用,材质手感好,外观好看/有设计感,轻薄便携,价格合适/性价比高,与平板搭配协调,耐用不易坏,品牌可信/品质稳定,颜色选择丰富","防摔防磕/保护性强,品牌可信/品质稳定,材质手感好,触控笔收纳和拿取方便,轻薄便携,颜色选择丰富,支架稳定/角度好用,耐用不易坏,外观好看/有设计感,不易沾指纹/不易显脏,与平板搭配协调,价格合适/性价比高",120-149元,肯定会,我已认真阅读,购买意愿: [肯定会购买],吸引力: [非常吸引],"可旋转使用,磁吸拆分方便,支撑看剧/学习/办公,价格合适,保护性较好,品牌/品质感较好,外观看起来简洁",我已认真阅读,购买意愿: [肯定会购买],四角气囊防护外显: [非常吸引];侧面直取笔槽: [非常吸引];更丰富、更个性化的配色选择: [非常吸引],愿意多付21元及以上,肯定会购买,肯定会购买,可能会购买,-,-,适合我的平板电脑，有科技感,我已认真阅读,购买意愿: [肯定会购买],光栅纹理背板的视觉效果: [非常吸引];微磨砂质感: [非常吸引];相比普通光面背板更不易沾指纹: [非常吸引];整体看起来更特别/更有设计感: [非常吸引],愿意多付21元及以上,肯定会购买,肯定会购买,肯定会购买,-,-,我喜欢磨砂感觉,11.26s,光栅款,性价比高，我更喜欢磨砂的质感，摸上去很舒服，防护效果好，复合我的使用习惯,有时会,女,25-30岁,自由职业/个体经营,二线,低,未知,安徽省,合肥市
222,是,88903553,726476,1024659,"充电宝/移动电源,奶茶/咖啡,T恤/裙子,手机壳,抽纸/卷纸,平板电脑保护套/壳,手机贴膜,桌面收纳,手机充电线/数据线",近12个月内,120–149元,完全由我自己决定购买哪个品牌和产品,Apple（苹果）,以上均无,均未参加过,本科,"旋转可拆分磁吸保护套,磁吸不可拆分保护套,普通翻盖保护套,透明/半透明保护壳","防摔防磕/保护性强,支架稳定/角度好用,材质手感好,外观好看/有设计感,与平板搭配协调","支架稳定/角度好用,材质手感好,外观好看/有设计感,防摔防磕/保护性强,与平板搭配协调",120-149元,可能会,我已认真阅读,购买意愿: [肯定会购买],吸引力: [比较吸引],"可旋转使用,磁吸拆分方便,价格合适,外观看起来简洁,保护性较好",我已认真阅读,购买意愿: [可能会购买],四角气囊防护外显: [一般];侧面直取笔槽: [比较吸引];更丰富、更个性化的配色选择: [非常吸引],愿意多付6-10元,可能会购买,可能会购买,可能会购买,-,-,愿意，我愿意，这样的功能更好，可以更好保护平板,我已认真阅读,购买意愿: [肯定会购买],光栅纹理背板的视觉效果: [比较吸引];微磨砂质感: [非常吸引];相比普通光面背板更不易沾指纹: [非常吸引];整体看起来更特别/更有设计感: [比较吸引],愿意多付16-20元,肯定会购买,可能会购买,可能会购买,-,-,我愿意，我喜欢磨砂的质感,9.87s,光栅款,光栅的质感更加高级,经常会,女,25-30岁,其他,三线,偏高,"已婚,已育,已有房,孝敬期",福建省,莆田市
223,是,88903574,726476,1024659,"洗面奶/洁面乳,平板电脑保护套/壳,智能手表/手环",近12个月内,100–119元,完全由我自己决定购买哪个品牌和产品,Apple（苹果）,以上均无,均未参加过,大专,磁吸不可拆分保护套,"防摔防磕/保护性强,支架稳定/角度好用,价格合适/性价比高","支架稳定/角度好用,防摔防磕/保护性强,价格合适/性价比高",100-119元,可能会,我已认真阅读,购买意愿: [可能会购买],吸引力: [比较吸引],"可旋转使用,外观看起来简洁,保护性较好",我已认真阅读,购买意愿: [可能会购买],四角气囊防护外显: [比较吸引];侧面直取笔槽: [比较吸引];更丰富、更个性化的配色选择: [非常吸引],愿意多付21元及以上,肯定会购买,可能会购买,可能会购买,-,-,对平板电脑保护好，要携带方便，配色多选择,我已认真阅读,购买意愿: [可能会购买],光栅纹理背板的视觉效果: [比较吸引];微磨砂质感: [比较吸引];相比普通光面背板更不易沾指纹: [比较吸引];整体看起来更特别/更有设计感: [非常吸引],愿意多付21元及以上,肯定会购买,可能会购买,可能会购买,-,-,外观够吸引，质感体验好，最重要是防指纹,75.39s,光栅款,对光栅款感兴趣，外观材质都喜欢，对平板电脑有很好的防护,有时会,女,25-30岁,企业职员,二线,低,"已婚,已育,已有房",广东省,佛山市
224,是,88903576,726476,1024659,"智能手表/手环,洗面奶/洁面乳,抽纸/卷纸,手机充电线/数据线,手机壳,充电宝/移动电源,鼠标/机械键盘,T恤/裙子,无线蓝牙耳机,运动鞋,平板电脑保护套/壳,手机贴膜",近12个月内,150–199元,完全由我自己决定购买哪个品牌和产品,Apple（苹果）,以上均无,均未参加过,本科,键盘保护套,"防摔防磕/保护性强,支架稳定/角度好用,触控笔收纳和拿取方便,材质手感好,不易沾指纹/不易显脏,外观好看/有设计感,颜色选择丰富,轻薄便携,品牌可信/品质稳定,价格合适/性价比高,耐用不易坏,与平板搭配协调","防摔防磕/保护性强,耐用不易坏,材质手感好,价格合适/性价比高,支架稳定/角度好用,与平板搭配协调,轻薄便携,不易沾指纹/不易显脏,品牌可信/品质稳定,触控笔收纳和拿取方便,外观好看/有设计感,颜色选择丰富",150-199元,肯定会,我已认真阅读,购买意愿: [可能会购买],吸引力: [比较吸引],"可旋转使用,磁吸拆分方便,支撑看剧/学习/办公,价格合适,外观看起来简洁,保护性较好",我已认真阅读,购买意愿: [可能会购买],侧面直取笔槽: [非常吸引];更丰富、更个性化的配色选择: [比较吸引];四角气囊防护外显: [非常吸引],愿意多付6-10元,可能会购买,可能会购买,说不清,-,-,四角防护，能更好的保护平板。笔槽拿取更方便,我已认真阅读,购买意愿: [肯定会购买],光栅纹理背板的视觉效果: [非常吸引];微磨砂质感: [非常吸引];相比普通光面背板更不易沾指纹: [非常吸引];整体看起来更特别/更有设计感: [非常吸引],愿意多付16-20元,肯定会购买,肯定会购买,可能会购买,-,-,磨砂手感更舒适，防滑，不留指纹，看着更高级,33.24s,光栅款,外观看着更高级，防滑，不留指纹，使用手感更舒适,经常会,女,25-30岁,企业职员,一线,低,"已婚,已育,装修期,已有房,已有车",北京,北京市
225,是,88903586,726476,1024659,"手机充电线/数据线,平板电脑保护套/壳,贴片面膜,洗面奶/洁面乳,洗衣液/洗衣凝珠,智能手表/手环,抽纸/卷纸,薯片/膨化食品,运动鞋,T恤/裙子,奶茶/咖啡,手机壳",近12个月内,120–149元,完全由我自己决定购买哪个品牌和产品,Apple（苹果）,以上均无,均未参加过,本科,磁吸不可拆分保护套,"防摔防磕/保护性强,支架稳定/角度好用,触控笔收纳和拿取方便,不易沾指纹/不易显脏,颜色选择丰富,品牌可信/品质稳定,耐用不易坏,价格合适/性价比高,轻薄便携,外观好看/有设计感,与平板搭配协调","品牌可信/品质稳定,防摔防磕/保护性强,支架稳定/角度好用,轻薄便携,价格合适/性价比高,外观好看/有设计感,与平板搭配协调,颜色选择丰富,触控笔收纳和拿取方便,耐用不易坏,不易沾指纹/不易显脏",120-149元,可能会,我已认真阅读,购买意愿: [可能会购买],吸引力: [一般],"可旋转使用,磁吸拆分方便,支撑看剧/学习/办公,价格合适,外观看起来简洁,保护性较好,品牌/品质感较好",我已认真阅读,购买意愿: [肯定会购买],四角气囊防护外显: [比较吸引];侧面直取笔槽: [一般];更丰富、更个性化的配色选择: [非常吸引],不愿意多付钱,可能会购买,可能会购买,可能不会购买,-,-,这是平板保护套的基础功能，如果这些基础功能要溢价，消费者难以接受,我已认真阅读,购买意愿: [可能会购买],光栅纹理背板的视觉效果: [一般];微磨砂质感: [非常吸引];相比普通光面背板更不易沾指纹: [非常吸引];整体看起来更特别/更有设计感: [比较吸引],愿意多付5元以内,肯定会购买,可能不会购买,-,-,-,材质的不同 ，不应该成为品牌溢价的理由，基础功能做到位才最重要,59.13s,光栅款,磨砂防滑，减少指纹留痕，更加好收拾好收纳，不显脏,完全不会,女,25-30岁,其他,二线,偏低,未知,福建省,泉州市
226,是,88903594,726476,1024659,"无线蓝牙耳机,智能手表/手环,洗面奶/洁面乳,洗衣液/洗衣凝珠,抽纸/卷纸,T恤/裙子,充电宝/移动电源,平板电脑保护套/壳,运动鞋,手机贴膜,手机壳,手机充电线/数据线,薯片/膨化食品,鼠标/机械键盘",近12个月内,150–199元,完全由我自己决定购买哪个品牌和产品,Apple（苹果）,以上均无,均未参加过,本科,键盘保护套,"防摔防磕/保护性强,支架稳定/角度好用,触控笔收纳和拿取方便,材质手感好,不易沾指纹/不易显脏,外观好看/有设计感,轻薄便携,品牌可信/品质稳定,价格合适/性价比高,耐用不易坏,与平板搭配协调","防摔防磕/保护性强,支架稳定/角度好用,耐用不易坏,材质手感好,与平板搭配协调,价格合适/性价比高,品牌可信/品质稳定,不易沾指纹/不易显脏,触控笔收纳和拿取方便,轻薄便携,外观好看/有设计感",150-199元,肯定会,我已认真阅读,购买意愿: [可能会购买],吸引力: [比较吸引],"可旋转使用,磁吸拆分方便,支撑看剧/学习/办公,价格合适,外观看起来简洁,保护性较好",我已认真阅读,购买意愿: [可能会购买],四角气囊防护外显: [非常吸引];侧面直取笔槽: [非常吸引];更丰富、更个性化的配色选择: [比较吸引],愿意多付6-10元,可能会购买,可能会购买,说不清,-,-,笔槽拿取更方便，日常使用更便利。四角防护能更好的保护平板,我已认真阅读,购买意愿: [肯定会购买],光栅纹理背板的视觉效果: [非常吸引];微磨砂质感: [非常吸引];相比普通光面背板更不易沾指纹: [非常吸引];整体看起来更特别/更有设计感: [非常吸引],愿意多付16-20元,肯定会购买,肯定会购买,可能会购买,-,-,外观更时尚，磨砂质感更舒适。不沾指纹，更高级,35.91s,光栅款,外观更时尚，磨砂质感更舒适。不沾指纹，看着更干净，好打理，使用更方便,经常会,女,25-30岁,企业职员,二线,低,未知,辽宁省,沈阳市
227,是,88903604,726476,1024659,"洗面奶/洁面乳,抽纸/卷纸,贴片面膜,无线蓝牙耳机,手机壳,手机充电线/数据线,薯片/膨化食品,充电宝/移动电源,手机贴膜,奶茶/咖啡,洗衣液/洗衣凝珠,T恤/裙子,平板电脑保护套/壳",近12个月内,50–79元,完全由我自己决定购买哪个品牌和产品,Apple（苹果）,以上均无,均未参加过,本科,"普通翻盖保护套,透明/半透明保护壳,键盘保护套,带笔槽保护套,旋转可拆分磁吸保护套","防摔防磕/保护性强,材质手感好,颜色选择丰富,触控笔收纳和拿取方便,支架稳定/角度好用","防摔防磕/保护性强,材质手感好,颜色选择丰富,触控笔收纳和拿取方便,支架稳定/角度好用",80-99元,肯定会,我已认真阅读,购买意愿: [可能会购买],吸引力: [非常吸引],"可旋转使用,磁吸拆分方便,支撑看剧/学习/办公,价格合适,外观看起来简洁,保护性较好",我已认真阅读,购买意愿: [肯定会购买],四角气囊防护外显: [比较吸引];侧面直取笔槽: [比较吸引];更丰富、更个性化的配色选择: [一般],不愿意多付钱,肯定会购买,可能会购买,可能会购买,-,-,看着更好看更耐用,我已认真阅读,购买意愿: [肯定会购买],光栅纹理背板的视觉效果: [比较吸引];微磨砂质感: [非常吸引];相比普通光面背板更不易沾指纹: [比较吸引];整体看起来更特别/更有设计感: [一般],不愿意多付钱,可能会购买,肯定会购买,肯定会购买,-,-,效果很不错,46.13s,两款都可以，没有明显偏好,材质看着更好。感觉保护效果更好,有时会,女,31-35岁,企业职员,一线,低,未知,广东省,深圳市
